matrix_id,npz_file,npz_key,shape,dtype,unit,row_layout_id_optional,column_layout_id_optional,derivation_source,description,quality_flag
BN_AB,multi_part_matrices.npz,BN_AB,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
BN_AD,multi_part_matrices.npz,BN_AD,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
BN_BC,multi_part_matrices.npz,BN_BC,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
BN_BD,multi_part_matrices.npz,BN_BD,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
B_EXT_ALL,multi_part_matrices.npz,B_EXT_ALL,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
CN_ALL,multi_part_matrices.npz,CN_ALL,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
CN_OP_TS101,multi_part_matrices.npz,CN_OP_TS101,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS102,multi_part_matrices.npz,CN_OP_TS102,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS103,multi_part_matrices.npz,CN_OP_TS103,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS104,multi_part_matrices.npz,CN_OP_TS104,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS201,multi_part_matrices.npz,CN_OP_TS201,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS202,multi_part_matrices.npz,CN_OP_TS202,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS203,multi_part_matrices.npz,CN_OP_TS203,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS204,multi_part_matrices.npz,CN_OP_TS204,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS301,multi_part_matrices.npz,CN_OP_TS301,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS302,multi_part_matrices.npz,CN_OP_TS302,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS303,multi_part_matrices.npz,CN_OP_TS303,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
CN_OP_TS304,multi_part_matrices.npz,CN_OP_TS304,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic precomputed topology_step operator; no engineering claim.,PASS
COV_MEAS_SYNTH,multi_part_matrices.npz,COV_MEAS_SYNTH,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
COV_SENSOR_SYNTH,multi_part_matrices.npz,COV_SENSOR_SYNTH,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
COV_SMS_BRACKET,multi_part_matrices.npz,COV_SMS_BRACKET,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
COV_SMS_PANEL,multi_part_matrices.npz,COV_SMS_PANEL,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
COV_SMS_RIB,multi_part_matrices.npz,COV_SMS_RIB,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
COV_SMS_SPAR,multi_part_matrices.npz,COV_SMS_SPAR,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
C_FIXTURE_SYNTH,multi_part_matrices.npz,C_FIXTURE_SYNTH,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
D_CMD_CLAMP_02,multi_part_matrices.npz,D_CMD_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
D_CMD_JOIN_03,multi_part_matrices.npz,D_CMD_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
D_CMD_LOCATE_01,multi_part_matrices.npz,D_CMD_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
D_CMD_RELEASE_04,multi_part_matrices.npz,D_CMD_RELEASE_04,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
GAP_CLAMP_02,multi_part_matrices.npz,GAP_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
GAP_JOIN_03,multi_part_matrices.npz,GAP_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
GAP_LOCATE_01,multi_part_matrices.npz,GAP_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,多零件串并联数值一致性测试矩阵；不得作为工程实测结论,PASS
