matrix_id,npz_file,npz_key,shape,dtype,unit,row_layout_id_optional,column_layout_id_optional,derivation_source,description,quality_flag,measurement_checkpoint_id_optional,operator_set_id_optional,data_nature,engineering_claim_allowed,future_part_id_optional,reference_sms_id_optional,mapping_semantics_optional,mapping_role_optional,probability_interpretation_allowed
BN_AB,multi_part_matrices.npz,BN_AB,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
BN_AD,multi_part_matrices.npz,BN_AD,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
BN_BC,multi_part_matrices.npz,BN_BC,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
BN_BD,multi_part_matrices.npz,BN_BD,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
B_EXT_ALL,multi_part_matrices.npz,B_EXT_ALL,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_ALL,multi_part_matrices.npz,CN_ALL,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS101,multi_part_matrices.npz,CN_OP_TS101,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS102,multi_part_matrices.npz,CN_OP_TS102,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS103,multi_part_matrices.npz,CN_OP_TS103,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS104,multi_part_matrices.npz,CN_OP_TS104,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS201,multi_part_matrices.npz,CN_OP_TS201,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS202,multi_part_matrices.npz,CN_OP_TS202,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS203,multi_part_matrices.npz,CN_OP_TS203,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS204,multi_part_matrices.npz,CN_OP_TS204,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS301,multi_part_matrices.npz,CN_OP_TS301,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS302,multi_part_matrices.npz,CN_OP_TS302,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
CN_OP_TS303,multi_part_matrices.npz,CN_OP_TS303,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
